,titles,year,imdb_ratings,text_muted1,text_muted2,text_muted3,meta_scores,director,stars
75,Witness for the Prosecution,(1957),8.4,"
116 min
|

Crime, Drama, Mystery            
","
A veteran British barrister must defend his client in a murder trial that has surprise after surprise.","
Votes:
125,034
| Gross:
$8.18M
",76        ,['Billy Wilder'],"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']"
76,Paths of Glory,(1957),8.4,"
88 min
|

Drama, War            
","
After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","
Votes:
196,776
",90        ,['Stanley Kubrick'],"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']"
77,Sunset Blvd.,(1950),8.4,"
110 min
|

Drama, Film-Noir            
","
A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.","
Votes:
221,248
",,['Billy Wilder'],"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']"
78,The Great Dictator,(1940),8.4,"
125 min
|

Comedy, Drama, War            
","
Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.","
Votes:
223,283
| Gross:
$0.29M
",,['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']"
79,Ayla: The Daughter of War,(2017),8.3,"
125 min
|

Biography, Drama, History            
","
In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »
","
Votes:
39,751
",,['Can Ulkay'],"['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']"
80,Dangal,(2016),8.3,"
161 min
|

Action, Biography, Drama            
","
Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.","
Votes:
189,654
| Gross:
$12.39M
",,['Nitesh Tiwari'],"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
81,Jagten,(2012),8.3,"
R
|
115 min
|

Drama            
","
A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","
Votes:
327,244
| Gross:
$0.69M
",77        ,['Thomas Vinterberg'],"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']"
82,Incendies,(2010),8.3,"
R
|
131 min
|

Drama, Mystery            
","
Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.","
Votes:
176,591
| Gross:
$6.86M
",80        ,['Denis Villeneuve'],"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel']"
83,Spider-Man: No Way Home,(2021),8.3,"
G
|
148 min
|

Action, Adventure, Fantasy            
","
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","
Votes:
731,851
| Gross:
$804.75M
",71        ,['Jon Watts'],"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']"
84,Khuda Kay Liye,(2007),8.3,"
168 min
|

Drama            
","
A drama about three stories centered on the effects of extremism and 9/11 on Pakistanis.","
Votes:
9,366
",,['Shoaib Mansoor'],"['Shaan Shahid', 'Fawad Khan', 'Iman Ali', 'Austin Marie Sayre']"
85,Up,(2009),8.3,"
PG
|
96 min
|

Animation, Adventure, Comedy            
","
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","
Votes:
1,034,522
| Gross:
$293.00M
",88        ,"['Pete Docter', 'Bob Peterson']","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']"
86,Toy Story 3,(2010),8.3,"
103 min
|

Animation, Adventure, Comedy            
","
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","
Votes:
829,906
| Gross:
$415.00M
",92        ,['Lee Unkrich'],"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty']"
87,Inglourious Basterds,(2009),8.3,"
R
|
153 min
|

Adventure, Drama, War            
","
In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","
Votes:
1,429,302
| Gross:
$120.54M
",69        ,['Quentin Tarantino'],"['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']"
88,Eternal Sunshine of the Spotless Mind,(2004),8.3,"
R
|
108 min
|

Drama, Romance, Sci-Fi            
","
When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","
Votes:
998,489
| Gross:
$34.40M
",89        ,['Michel Gondry'],"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']"
89,Le fabuleux destin d'Amélie Poulain,(2001),8.3,"
R
|
122 min
|

Comedy, Romance            
","
Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","
Votes:
752,726
| Gross:
$33.23M
",69        ,['Jean-Pierre Jeunet'],"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta']"
90,Requiem for a Dream,(2000),8.3,"
R
|
102 min
|

Drama            
","
The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.","
Votes:
835,487
| Gross:
$3.64M
",68        ,['Darren Aronofsky'],"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans']"
91,Good Will Hunting,(1997),8.3,"
R
|
126 min
|

Drama, Romance            
","
Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","
Votes:
957,206
| Gross:
$138.43M
",70        ,['Gus Van Sant'],"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård']"
92,Toy Story,(1995),8.3,"
G
|
81 min
|

Animation, Adventure, Comedy            
","
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.","
Votes:
984,812
| Gross:
$191.80M
",95        ,['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']"
93,Heat,(1995),8.3,"
R
|
170 min
|

Action, Crime, Drama            
","
A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.","
Votes:
649,918
| Gross:
$67.44M
",76        ,['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']"
94,Reservoir Dogs,(1992),8.3,"
R
|
99 min
|

Crime, Thriller            
","
When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","
Votes:
1,008,645
| Gross:
$2.83M
",79        ,['Quentin Tarantino'],"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']"
95,Gu ling jie shao nian sha ren shi jian,(1991),8.3,"
237 min
|

Crime, Drama, Romance            
","
Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax.","
Votes:
10,482
",90        ,['Edward Yang'],"['Chang Chen', 'Lisa Yang', 'Kuo-Chu Chang', 'Elaine Jin']"
96,Full Metal Jacket,(1987),8.3,"
18
|
116 min
|

Drama, War            
","
A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.","
Votes:
737,345
| Gross:
$46.36M
",76        ,['Stanley Kubrick'],"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin']"
97,Once Upon a Time in America,(1984),8.3,"
R
|
229 min
|

Crime, Drama            
","
A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","
Votes:
350,141
| Gross:
$5.32M
",75        ,['Sergio Leone'],"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']"
98,Scarface,(1983),8.3,"
170 min
|

Crime, Drama            
","
In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","
Votes:
831,574
| Gross:
$45.60M
",65        ,['Brian De Palma'],"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']"
99,Star Wars: Episode VI - Return of the Jedi,(1983),8.3,"
PG
|
131 min
|

Action, Adventure, Fantasy            
","
After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","
Votes:
1,044,558
| Gross:
$309.13M
",58        ,['Richard Marquand'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
100,The Sting,(1973),8.3,"
129 min
|

Comedy, Crime, Drama            
","
Two grifters team up to pull off the ultimate con.","
Votes:
261,375
| Gross:
$159.60M
",83        ,['George Roy Hill'],"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']"
101,A Clockwork Orange,(1971),8.3,"
136 min
|

Crime, Sci-Fi            
","
In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","
Votes:
823,594
| Gross:
$6.21M
",77        ,['Stanley Kubrick'],"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']"
102,2001: A Space Odyssey,(1968),8.3,"
G
|
149 min
|

Adventure, Sci-Fi            
","
After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.","
Votes:
663,689
| Gross:
$56.95M
",84        ,['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter']"
103,To Kill a Mockingbird,(1962),8.3,"
129 min
|

Crime, Drama            
","
Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.","
Votes:
315,713
",88        ,['Robert Mulligan'],"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']"
104,Lawrence of Arabia,(1962),8.3,"
218 min
|

Adventure, Biography, Drama            
","
The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","
Votes:
292,681
| Gross:
$44.82M
",100        ,['David Lean'],"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']"
105,Judgment at Nuremberg,(1961),8.3,"
179 min
|

Drama, War            
","
In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","
Votes:
77,702
",60        ,['Stanley Kramer'],"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']"
106,The Apartment,(1960),8.3,"
125 min
|

Comedy, Drama, Romance            
","
A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","
Votes:
181,100
| Gross:
$18.60M
",94        ,['Billy Wilder'],"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']"
107,North by Northwest,(1959),8.3,"
136 min
|

Action, Adventure, Mystery            
","
A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","
Votes:
326,728
| Gross:
$13.28M
",98        ,['Alfred Hitchcock'],"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']"
108,Vertigo,(1958),8.3,"
PG
|
128 min
|

Mystery, Romance, Thriller            
","
A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","
Votes:
400,411
| Gross:
$3.20M
",100        ,['Alfred Hitchcock'],"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']"
109,Singin' in the Rain,(1952),8.3,"
G
|
103 min
|

Comedy, Musical, Romance            
","
A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.","
Votes:
241,464
| Gross:
$8.82M
",99        ,"['Stanley Donen', 'Gene Kelly']","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen']"
110,Ladri di biciclette,(1948),8.3,"
89 min
|

Drama            
","
In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.","
Votes:
163,237
| Gross:
$0.33M
",,['Vittorio De Sica'],"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell', 'Elena Altieri']"
111,Double Indemnity,(1944),8.3,"
107 min
|

Crime, Drama, Film-Noir            
","
A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","
Votes:
157,049
| Gross:
$5.72M
",95        ,['Billy Wilder'],"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']"
112,Citizen Kane,(1941),8.3,"
PG
|
119 min
|

Drama, Mystery            
","
Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","
Votes:
440,287
| Gross:
$1.59M
",100        ,['Orson Welles'],"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']"
113,Metropolis,(1927),8.3,"
153 min
|

Drama, Sci-Fi            
","
In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","
Votes:
174,023
| Gross:
$1.24M
",98        ,['Fritz Lang'],"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge']"
114,The Kid,(1921),8.3,"
68 min
|

Comedy, Drama, Family            
","
The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","
Votes:
126,355
| Gross:
$5.45M
",,['Charles Chaplin'],"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller']"
115,Cep Herkülü: Naim Süleymanoglu,(2019),8.2,"
141 min
|

Biography, Drama, Sport            
","
The biography of Turkish weight lifter, and champion of Olympics, Naim Suleymanoglu.","
Votes:
12,234
",,['Özer Feyzioglu'],"['Hayat Van Eck', 'Selen Öztürk', 'Yetkin Dikinciler', 'Gürkan Uygun']"
116,1917,(2019),8.2,"
R
|
119 min
|

Action, Drama, War            
","
April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","
Votes:
576,131
| Gross:
$159.23M
",78        ,['Sam Mendes'],"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']"
117,Andhadhun,(2018),8.2,"
139 min
|

Comedy, Crime, Music            
","
A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","
Votes:
92,447
| Gross:
$1.37M
",,['Sriram Raghavan'],"['Tabu', 'Ayushmann Khurrana', 'Radhika Apte', 'Anil Dhawan']"
